start_station;end_station;start_date;minutes
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny);St-Jean-Baptiste / René-Lévesque;11/06/2022 15:17:26;117
Henri-Julien / de Castelnau;Métro St-Michel (Shaughnessy / St-Michel);28/09/2022 15:16:15;117
Montcalm / de Maisonneuve;Marie-Anne / de la Roche;28/07/2021 17:05:15;117
Nicolet / Sherbrooke;Parc Jean-Drapeau (Chemin Macdonald);10/05/2022 16:05:18;117
St-Dominique / St-Viateur;St-Jacques / St-Laurent;03/09/2021 14:05:48;117
2e avenue / Wellington;Beurling / Godin;11/11/2021 13:40:38;116
Chabot / Beaubien;McTavish / Sherbrooke;09/07/2022 10:36:17;116
Earnscliffe / Queen-Mary;Métro Snowdon (de Westbury / Queen-Mary);24/08/2022 22:05:19;116
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain);5e avenue / Masson;26/05/2021 11:07:49;116
de Gaspé / Jarry;Cartier / Dandurand;03/07/2022 11:45:25;116
6e avenue / Bélanger;Louis-Hébert / Bélanger;05/10/2022 10:49:41;115
41e avenue / Rosemont;de Maisonneuve / Mansfield (nord);11/08/2022 09:50:30;114
Chabanel / de l'Esplanade;Marché Atwater;05/06/2022 14:31:04;114
Du Quesne / Pierre-de-Coubertin;Métro Cadillac (Cadillac / Sherbrooke);04/09/2022 23:49:28;114
O'Brien / Poirier;Métro du Collège (Cartier / Décarie);11/08/2022 18:41:43;114
Ste-Émilie / St-Rémi;de la Commune / King;11/05/2022 13:31:46;114
d'Orléans / Masson;de Côme / Jean-Talon;23/08/2021 16:39:04;114
du Tricentenaire / Prince-Albert;Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny);13/06/2021 19:54:41;114
Casgrain / St-Viateur;de Lanaudière / Laurier;28/08/2022 15:44:07;113
Chabanel / du Parc;des Bassins / du Séminaire;07/08/2022 16:45:39;113
Legrand / Laurier;Jean-Brillant / de la Côte-des-Neiges;30/07/2021 19:52:41;113
Place des Festivals ( du Président-Kennedy / de Bleury);des Érables / Laurier;28/10/2022 15:11:30;113
St-Zotique / Clark;Métro Place St-Henri (St-Ferdinand / St-Jacques);29/06/2022 13:59:07;113
du Souvenir / Chomedey;Métro Montmorency;20/05/2022 20:01:18;113
Bassin olympique (Chemin du Chenal le Moyne);Parc St-Louis (St-Joseph / 34e avenue);23/05/2022 22:05:18;112
Bishop/ René-Lévesque;de l'Hôtel-de-Ville / Ste-Catherine;03/07/2021 02:02:50;112
Collège Édouard-Montpetit (de Gentilly / de Normandie);St-Zotique / Clark;06/11/2022 01:19:13;112
Garnier / St-Joseph;Henri-Julien / de Bellechasse;12/05/2021 18:16:14;112
de Maisonneuve / Berri;St-Hubert / René-Lévesque;25/04/2021 11:44:57;112
des Ormeaux / Notre-Dame;Mackay / de Maisonneuve;16/07/2021 18:16:27;112
Beatty / de Verdun;Drolet / Marie-Anne;05/06/2022 09:27:17;111
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain);15/07/2022 16:04:28;111
Duluth  / St-Denis;Metcalfe / de Maisonneuve;04/10/2022 11:19:23;111
St-Urbain / Beaubien;Métro Peel (de Maisonneuve / Stanley);12/09/2022 13:13:29;111
Victoria / 18e avenue Lachine;Métro Snowdon (de Westbury / Queen-Mary);30/05/2022 17:28:22;111
Benny / Sherbrooke;Park Row O / Sherbrooke;28/07/2021 14:10:13;110
Lapierre / Serge;Gloria / Dollard;19/07/2022 21:20:40;110
